sku,name,price,category
SKU-001,Wireless Mouse,29.99,Electronics
SKU-002,USB-C Cable,12.99,Accessories
SKU-003,Laptop Stand,45.00,Office
SKU-004,Keyboard,89.99,Electronics
SKU-005,Monitor 24inch,199.99,Electronics
SKU-006,Desk Lamp,34.50,Office
SKU-007,Notebook Set,15.99,Stationery
SKU-008,Pen Pack,8.99,Stationery
SKU-009,Phone Case,19.99,Accessories
SKU-010,Headphones,79.99,Electronics
SKU-011,Water Bottle,14.99,Lifestyle
SKU-012,Backpack,59.99,Bags
SKU-013,Power Bank,39.99,Electronics
SKU-014,Screen Protector,9.99,Accessories
SKU-015,Webcam HD,69.99,Electronics
